Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
map,-0.0033599,-0.00084664,0.1336,0,0,0,9.87,0.17,-1.1578E-05,-0.00027182,0.145,-2.1263E-05,0.079,0,0,0,0,0,0,package://rel2/meshes/map.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/map.STL,,CT0A-1;CT0B-1;WT0-1,C0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck_base_link,3.5639E-05,4.7576E-05,-0.031296,0,0,0,0.61964,0.00045,4.4922E-07,4.4668E-07,0.00046,3.5279E-07,0.0005,0,0,0,0,0,0,package://rel2/meshes/neck_base_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://rel2/meshes/neck_base_link.STL,,HD0A-1;HD0B-1,CN0,AN1,neck_base_joint,fixed,0,0,0.4,0,0,0,map,0,0,0,,,,,,,,,,,,
neck_yaw_link,0.023237,0.004247,0.035877,0,0,0,0.64979,0.00076,7.322E-07,1.9679E-05,0.0008,2.7926E-07,0.00082,0,0,0,0,0,0,package://rel2/meshes/neck_yaw_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://rel2/meshes/neck_yaw_link.STL,,HD1A-1;HD1B-1,CN1,AN1,neck_yaw_joint,revolute,0,0,0,0,0,0,neck_base_link,0,0,1,50,7,-1.57,1.57,,,1,2,,,,
neck_pitch_link,-0.0021819,-0.087991,0.00035708,0,0,0,1.3216,0.0085,-0.0010336,-1.3429E-07,0.0084,3.6968E-07,0.0086,0,0,0,0,0,0,package://rel2/meshes/neck_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/neck_pitch_link.STL,,HD2A-1;HD2B-1,CN2,AN2,neck_pitch_joint,revolute,0.032,0,0.044,-1.5708,0,0,neck_yaw_link,0,0,1,50,7,-0.44,0.44,,,1,2,,,,
realsense_link,0.0474236934087273,0.000142848649363536,-0.00824211458540719,0,0,0,0.076906924580154,8.66591553009507E-06,9.27661790537904E-08,-9.17471216426098E-08,9.4298219958331E-05,9.01987209994853E-08,9.49961669519373E-05,0,0,0,0,0,0,package://rel2/meshes/realsense_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://rel2/meshes/realsense_link.STL,,RealSense_D455-1,Realsense,AN2,realsense_joint,fixed,0.0663707740899329,-0.125359990838924,0.0474999999999999,0.349065850398864,1.5707963267949,0,neck_pitch_link,0,0,0,,,,,,,,,,,,
left_arm_base_link,4.3007E-05,-0.0002119,0.15272,0,0,0,0.71484,0.00067,4.4875E-09,4.4641E-07,0.00067,3.3288E-07,0.00061,0,0,0,0,0,0,package://rel2/meshes/left_arm_base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_arm_base_link.STL,,AML0A-1;AML0B-1,CLA0,ALA1,left_arm_base_joint,fixed,0,0,0.2885,1.5708,-1.5708,0,map,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_link,3.5013E-05,-0.0038729,-0.011871,0,0,0,0.90505,0.0015,5.7487E-07,-9.3092E-06,0.00137,-3.8731E-06,0.00096,0,0,0,0,0,0,package://rel2/meshes/left_shoulder_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_shoulder_pitch_link.STL,,AML1A-1;AML1B-1,CLA1,ALA1,left_shoulder_pitch_joint,revolute,0,0,0.2635,0,0,0,left_arm_base_link,0,0,1,80,7,-3.14,1.4,,,1,2,,,,
left_shoulder_roll_link,-5.3445E-05,-0.065465,0.00044459,0,0,0,0.72803,0.00149,5.2258E-07,-9.7942E-07,0.00076,-1.7628E-07,0.00137,0,0,0,0,0,0,package://rel2/meshes/left_shoulder_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_shoulder_roll_link.STL,,AML2A-1;AML2B-1,CLA2,ALA2,left_shoulder_roll_joint,revolute,0,0,0,1.5708,-1.5708,0,left_shoulder_pitch_link,0,0,1,80,7,-2.79,0.37,,,1,2,,,,
left_arm_yaw_link,-0.00064229,0.0042682,-0.011976,0,0,0,0.6767,0.00089,7.579E-07,-4.3018E-06,0.0008,-2.724E-07,0.00051,0,0,0,0,0,0,package://rel2/meshes/left_arm_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_arm_yaw_link.STL,,AML3A-1;AML3B-1,CLA3,ALA3,left_arm_yaw_joint,revolute,0,-0.1905,0,1.5708,-1.5708,0,left_shoulder_roll_link,0,0,1,50,7,-2.09,2.09,,,1,2,,,,
left_elbow_pitch_link,-4.1786E-05,0.063355,0.00048573,0,0,0,0.64825,0.00088,-3.9226E-07,-4.9075E-07,0.00053,3.558E-07,0.00077,0,0,0,0,0,0,package://rel2/meshes/left_elbow_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_elbow_pitch_link.STL,,AML4A-1;AML4B-1,CLA4,ALA4,left_elbow_pitch_joint,revolute,0,0,0,1.5708,0,0,left_arm_yaw_link,0,0,-1,50,7,-0.26,2.18,,,1,2,,,,
left_elbow_yaw_link,-0.0001806,0.0042708,-0.0077002,0,0,0,0.64989,0.00064,1.4143E-07,-1.0059E-06,0.00055,-5.4972E-07,0.00047,0,0,0,0,0,0,package://rel2/meshes/left_elbow_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_elbow_yaw_link.STL,,AML5A-1;AML5B-1,CLA5,ALA5,left_elbow_yaw_joint,revolute,0,0.16,0,-1.5708,0,0,left_elbow_pitch_link,0,0,1,50,7,-2.09,2.09,,,1,2,,,,
left_wrist_roll_link,-5.7422E-05,-0.062427,-0.00035934,0,0,0,0.63795,0.00085,3.7671E-07,-9.2328E-07,0.00052,-2.2456E-06,0.00075,0,0,0,0,0,0,package://rel2/meshes/left_wrist_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_wrist_roll_link.STL,,AML6A-1;AML6B-1,CLA6,ALA6,left_wrist_roll_joint,revolute,0,0,0,-1.5708,0,0,left_elbow_yaw_link,0,0,1,50,7,-1.92,1.92,,,1,2,,,,
